,cos_sim,cos_mo,cos_dif,cos_mo_dif,ele_sub
679,-0.02826,-0.02416,0.97174,0.97584,0.01158
680,-0.01376,-0.01361,0.98624,0.98639,0.0299
681,-0.02791,-0.02393,0.97209,0.97607,0.0107
682,-0.03109,-0.02656,0.96891,0.97344,0.01235
683,-0.0228,-0.01949,0.9772,0.98051,0.01173
684,-0.03022,-0.0258,0.96978,0.9742,0.01151
685,0.00193,0.00165,0.99807,0.99835,0.00953
686,-0.03485,-0.03321,0.96515,0.96679,0.03444
687,-0.02587,-0.02581,0.97413,0.97419,0.03254
688,-0.03347,-0.02838,0.96653,0.97162,0.01188
689,-0.0066,-0.00557,0.9934,0.99443,0.01108
690,-0.00658,-0.00601,0.99342,0.99399,0.04097
691,-0.0415,-0.03746,0.9585,0.96254,0.01093
692,0.0031,0.00278,0.9969,0.99722,0.00917
693,-0.00242,-0.00219,0.99758,0.99781,0.00849
694,-0.05024,-0.04513,0.94976,0.95487,0.01149
695,0.03864,0.03509,0.96136,0.96491,0.01736
696,-0.0411,-0.03702,0.9589,0.96298,0.01108
697,-0.00942,-0.00842,0.99058,0.99158,0.00937
698,-0.00265,-0.0024,0.99735,0.9976,0.00865
699,-0.04867,-0.04365,0.95133,0.95635,0.01161
700,0.04033,0.03677,0.95967,0.96323,0.0176
701,-0.0362,-0.0302,0.9638,0.9698,0.01118
702,-0.02035,-0.01673,0.97965,0.98327,0.01147
703,0.01549,0.01272,0.98451,0.98728,0.01003
704,0.00534,0.00514,0.99466,0.99486,0.02032
705,0.00308,0.00254,0.99692,0.99746,0.01191
706,-0.0246,-0.02028,0.9754,0.97972,0.01359
707,0.01197,0.00987,0.98803,0.99013,0.01164
708,0.00224,0.00224,0.99776,0.99776,0.02135
709,-0.04115,-0.03401,0.95885,0.96599,0.01276
710,-0.03919,-0.0325,0.9608099999999999,0.9675,0.01213
711,-0.02621,-0.02158,0.97379,0.97842,0.01214
712,-0.01063,-0.00935,0.98937,0.99065,0.00953
713,-0.01618,-0.01418,0.98382,0.98582,0.00971
714,-0.03021,-0.02657,0.96979,0.97343,0.01192
715,-0.02556,-0.02242,0.97444,0.97758,0.01133
716,-0.03724,-0.03265,0.96276,0.96735,0.00992
717,-0.01579,-0.01372,0.98421,0.98628,0.00966
718,-0.00843,-0.0074,0.99157,0.9926,0.00955
719,-0.01669,-0.0146,0.98331,0.9854,0.00986
720,-0.03207,-0.02814,0.96793,0.97186,0.01217
721,-0.02477,-0.02167,0.97523,0.97833,0.01156
722,-0.03623,-0.03171,0.96377,0.96829,0.01003
723,-0.01807,-0.01567,0.98193,0.98433,0.00994
724,-0.01125,-0.00981,0.98875,0.99019,0.0098
725,-0.01564,-0.01358,0.98436,0.98642,0.01007
726,-0.03664,-0.03193,0.96336,0.96807,0.01239
727,-0.02592,-0.02253,0.9740800000000001,0.97747,0.01166
728,-0.03419,-0.02974,0.9658100000000001,0.97026,0.01019
729,-0.01763,-0.01518,0.98237,0.98482,0.01008
730,-0.01053,-0.00906,0.98947,0.99094,0.01056
731,-0.01211,-0.01045,0.98789,0.98955,0.01025
732,-0.03679,-0.03191,0.96321,0.96809,0.01256
733,-0.0291,-0.02515,0.9709,0.97485,0.01205
734,-0.03808,-0.03298,0.96192,0.96702,0.01055
735,-0.0129,-0.01104,0.9871,0.98896,0.01033
736,-0.00947,-0.00817,0.99053,0.99183,0.01046
737,-0.0114,-0.00988,0.9886,0.99012,0.01008
738,-0.03571,-0.03108,0.96429,0.96892,0.01234
739,-0.0267,-0.02317,0.9733,0.97683,0.01182
740,-0.03258,-0.0283,0.96742,0.9717,0.01026
741,-0.01608,-0.01382,0.98392,0.98618,0.01021
742,-0.0342,-0.02845,0.9658,0.97155,0.01121
743,-0.0192,-0.01574,0.9808,0.98426,0.01153
744,0.014,0.01147,0.986,0.98853,0.01008
745,0.00489,0.00472,0.99511,0.99528,0.0204
746,0.00392,0.00323,0.99608,0.99677,0.01191
747,-0.02306,-0.01896,0.97694,0.98104,0.01366
748,0.01283,0.01055,0.98717,0.98945,0.01168
749,0.00163,0.00163,0.99837,0.99837,0.02147
750,-0.03999,-0.03297,0.96001,0.9670300000000001,0.01284
751,-0.03721,-0.03078,0.96279,0.96922,0.01219
752,-0.02445,-0.02008,0.97555,0.97992,0.01219
753,0.06497,0.05944,0.93503,0.94056,0.02076
754,0.07024,0.06801,0.92976,0.93199,0.02065
755,0.01817,0.01648,0.98183,0.98352,0.00737
756,-0.03523,-0.03196,0.96477,0.96804,0.01035
757,-0.0139,-0.01251,0.9861,0.98749,0.00865
758,0.04904,0.0447,0.95096,0.9553,0.00749
759,-0.03479,-0.03136,0.96521,0.96864,0.00957
760,-0.03167,-0.02866,0.96833,0.97134,0.0098
761,0.0127,0.01147,0.9873,0.98853,0.00779
762,-0.02886,-0.02607,0.97114,0.97393,0.00837
763,0.04919,0.04508,0.95081,0.95492,0.00715
764,-0.051,-0.04622,0.949,0.95378,0.00934
765,0.06183,0.05838,0.93817,0.94162,0.02071
766,0.06239,0.057,0.93761,0.943,0.02111
767,0.0636,0.05742,0.9364,0.94258,0.00714
768,0.01535,0.01392,0.98465,0.98608,0.00741
769,-0.0327,-0.02964,0.9673,0.97036,0.01031
770,-0.00335,-0.00301,0.99665,0.99699,0.00837
771,0.04792,0.0437,0.95208,0.9563,0.00744
772,-0.03753,-0.03378,0.96247,0.96622,0.00908
773,-0.03237,-0.02923,0.96763,0.97077,0.00998
774,0.00319,0.00288,0.99681,0.99712,0.0079
775,-0.02979,-0.02685,0.97021,0.97315,0.00871
776,0.04745,0.04339,0.95255,0.95661,0.00729
777,-0.05504,-0.04974,0.94496,0.95026,0.00971
778,0.06009,0.05695,0.93991,0.9430499999999999,0.02118
779,0.0712,0.06557,0.9288,0.93443,0.02063
780,0.07316,0.06833,0.92684,0.93167,0.02115
781,0.01549,0.01405,0.98451,0.98595,0.00799
782,-0.04125,-0.03749,0.95875,0.96251,0.01037
783,-0.0217,-0.01952,0.9783,0.98048,0.00928
784,0.05473,0.04996,0.94527,0.95004,0.00753
785,-0.04722,-0.04267,0.95278,0.95733,0.00984
786,-0.02878,-0.02604,0.97122,0.97396,0.00989
787,0.04096,0.037,0.95904,0.963,0.00747
788,-0.00614,-0.00554,0.99386,0.99446,0.00862
789,0.05332,0.04889,0.94668,0.95111,0.00707
790,-0.03027,-0.02751,0.96973,0.97249,0.00885
791,0.06797,0.06472,0.93203,0.93528,0.0207
792,0.06719,0.06194,0.93281,0.93806,0.02079
793,0.06445,0.05988,0.93555,0.94012,0.02115
794,-0.0013,-0.00118,0.9987,0.99882,0.00835
795,-0.04073,-0.03698,0.95927,0.96302,0.01032
796,-0.02295,-0.02062,0.97705,0.97938,0.00887
